method,mean_elapsed_sec,median_elapsed_sec,std_elapsed_sec,mean_n_keypoints,median_n_keypoints,std_n_keypoints,n_images
SIFT,0.0044723340390882705,0.003919449999983726,0.0023356877672534916,128.60138436482086,90.0,122.43336731418978,2456
SURF,0.0022748484934848137,0.002071800000010171,0.004352626171909472,56.10260586319218,37.0,60.453230961928284,2456
