feature,silhouette_mean,silhouette_std,ari_vs_full_mean,ari_vs_full_std,n_trials
SIFT,0.3397314935922623,0.0024768677542831774,0.99006899750333,0.010907261921736588,10
SURF,0.31878958344459535,0.006372579916181219,0.9385743852568675,0.15141701917397363,10
